1518706534253, 0.061, -0.549, 0.244, METAWEAR, SENSOR_GYRO
1518706534403, 0.122, -0.793, 0.244, METAWEAR, SENSOR_GYRO
1518706534453, 0.183, -0.61, 0.366, METAWEAR, SENSOR_GYRO
1518706534653, 0.061, -0.671, 0.366, METAWEAR, SENSOR_GYRO
1518706534753, 0, -0.671, 0.183, METAWEAR, SENSOR_GYRO
1518706534803, 0.122, -0.671, 0.305, METAWEAR, SENSOR_GYRO
1518706534853, 0.061, -0.549, 0.305, METAWEAR, SENSOR_GYRO
1518706535004, 0.061, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706535061, 0.122, -0.427, 0.122, METAWEAR, SENSOR_GYRO
1518706535203, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518706535253, 0, -0.61, 0.305, METAWEAR, SENSOR_GYRO
1518706535404, 0.122, -0.61, 0.244, METAWEAR, SENSOR_GYRO
1518706535453, 0.061, -0.488, 0.122, METAWEAR, SENSOR_GYRO
1518706535605, 0.061, -0.61, 0.183, METAWEAR, SENSOR_GYRO
1518706535653, 0.061, -0.549, 0.244, METAWEAR, SENSOR_GYRO
1518706535853, 0, -0.488, 0.244, METAWEAR, SENSOR_GYRO
1518706535903, -0.854, 0.915, 24.939, METAWEAR, SENSOR_GYRO
1518706536053, 0.061, 0.122, 23.171, METAWEAR, SENSOR_GYRO
1518706536103, -0.488, 0.061, 26.098, METAWEAR, SENSOR_GYRO
1518706536303, 0.244, -0.427, 6.28, METAWEAR, SENSOR_GYRO
1518706536353, -0.122, -0.488, 0.244, METAWEAR, SENSOR_GYRO
1518706536553, -0.732, 1.829, 25.549, METAWEAR, SENSOR_GYRO
1518706536603, -1.585, -2.134, 25, METAWEAR, SENSOR_GYRO
1518706536753, -1.707, 0.488, 42.195, METAWEAR, SENSOR_GYRO
